English,Luganda
"Annual Pharmaceutical Services Performance Report Annual Pharmaceutical Services Performance Report All parts of this publication may be reproduced in any form, provided due acknowledgement is given.","Annual Pharmaceutical Services Performance Report Alipoota y’emirimu gy’eddagala ey’omwaka Alipoota y’omutindo gw’emirimu gyonna ebitundu by’ekitabo kino biyinza okuddamu okukolebwa mu ngeri yonna, kasita okusiima kuweebwa."
Copies may be obtained from:,Kopi ziyinza okufunibwa okuva mu:
Annual Pharmaceutical Services Performance Report The development of the Annual Pharmaceutical Services Performance Report for the Financial Year (FY) 2023/24 was led by the Medicines (DPNM).,Alipoota y’emirimu gy’eddagala buli mwaka Alipoota y’okukola lipoota y’emirimu gy’eddagala eriweebwa buli mwaka mu mwaka gw’ebyensimbi (FY) 2023/24 yakulemberwa eddagala (DPNM).
"A special acknowledgment is due to the United Nations Population Fund (UNFPA) for their generous financial support, which made the development of this report possible.","Okukkiriza okw’enjawulo kuva ku kitongole ky’amawanga amagatte ekivunaanyizibwa ku bungi bw’abantu (UNFPA) olw’obuyambi bwabwe obw’amaanyi mu by’ensimbi, ekyasobozesa okukulaakulanya alipoota eno okusoboka."
Annual Pharmaceutical Services Performance Report The Annual Pharmaceutical Services Performance Report 2023/24 reviews the progress made towards achieving the targets set in the National Pharmaceutical Services Strategic Plan (NPSSP) Progress is assessed by examining the trends in the 32 selected indicators over time and comparing them to set targets.,Lipoota y’emirimu gy’eddagala buli mwaka Lipoota y’emirimu gy’eddagala buli mwaka Alipoota y’emirimu 2023/24 etunuulira enkulaakulana ekoleddwa okutuuka ku biruubirirwa ebiteekeddwa mu nteekateeka y’eggwanga ey’okuweereza mu nteekateeka y’obuweereza bw’eddagala (NPSSP) yeekenneenyezebwa nga twekenneenya emitendera mu bipimo 32 ebirondeddwa mu biseera n’okubageraageranya okuteekawo ebiruubirirwa.
The report covers eleven  priority areas of the NPSSP which are aligned with the objectives in the National Medicines Policy 2015.,Alipoota eno ekwata ku bitundu kkumi na kimu eby’okukulembeza NPSSP ebikwatagana n’ebigendererwa mu nkola y’eddagala ly’eggwanga 2015.
"Annual Pharmaceutical Services Performance Report The data collection process was in accordance with the standard and approved procedures, methods, and tools outlined in the Monitoring and Evaluation Plan for the NPSSP.","Alipoota y’omulimu gw’okukola eddagala buli mwaka Enkola y’okukung’aanya ebikwata ku bantu yali egoberera enkola, enkola, enkola, n’ebikozesebwa ebikkirizibwa, n’ebikozesebwa ebyalagibwa mu nteekateeka y’okulondoola n’okwekenneenya NPSSP."
"The data is collected on an annual basis, analyzed, and reported by the Governance, Leadership, and Pharmaceutical Information Portal (PIP), Medicines Procurement and Management (MPM) Technical Working Group (TWG), CSG, 10-year supply and Management Structures: Implementation NMS and JMS issues and stock on hand (SOH) reports, HMIS 105 reports, SPARS Reports, Warehouse online stock status report (OSSR), online facility stock status report (OFSSR), NMS CSSP, JMS integrated ordering system.","The data is collected on an annual basis, analyzed, and reported by the Governance, Leadership, and Pharmaceutical Information Portal (PIP), Medicines Procurement and Management (MPM) Technical Working Group (TWG), CSG, 10-year supply and Management Structures: Implementation NMS and JMS issues and stock on hand (SOH) reports, HMIS 105 reports, SPARS Reports, Warehouse online stock status report (OSSR), online facility stock status report (OFSSR), NMS CSSP, JMS Enkola y’okulagira okugatta."
Annual Pharmaceutical Services Performance Report The indicators selected were based on the priority strategies outlined in the NPSSP.,Alipoota y’emirimu gy’eddagala buli mwaka Ebipimo ebirondeddwa byasinziira ku nkola z’okukulembeza eziragiddwa mu NPSSP.
"To ensure standardized measurements, operational definitions were clearly defined for each indicator, with the data source, collection and calculation method, and data limitations described in the Monitoring and Evaluation (M&E) plan.","Okukakasa ebipimo ebituufu, ennyonyola z’emirimu zaali zitegeezeddwa bulungi ku buli kiraga, n’ensibuko y’amawulire, enkola y’okukung’aanya n’okubalirira, n’obuzibu bw’ebikwata ku biwandiiko ebinnyonnyoddwa mu nteekateeka y’okulondoola n’okwekenneenya (M&E)."
"Where indicators can be measured through more than one source of data, these are presented together for the purpose of comparison and validation.","Awali ebiraga ebiyinza okupimibwa okuyita mu nsibuko y’ebiwandiiko ebisukka mu emu, bino biragiddwa wamu n’ekigendererwa eky’okugeraageranya n’okukakasa."
Data was entered into STATA and different Excel workbooks and cleaned to ensure errors were corrected.,Data yayingizibwa mu Stata n’ebitabo bya Excel eby’enjawulo ne biyonjebwa okukakasa nti ensobi zitereezebwa.
Descriptive statistics for each indicator were generated.,Ebibalo ebinnyonnyola ku buli kiraga byakolebwa.
The focus of the analysis was the current performance compared to the previous years performance and set targets.,Essira mu kwekenneenya kwali kukola mu kiseera kino bw’ogeraageranya n’omutindo gw’emyaka egiyise n’okuteekawo ebiruubirirwa.
"This report is disseminated through the Ministerial policy statement and budget framework paper, NMS vote 116 health facility resource allocations, Integrated quantification report for essential medicines and health supplies, FY 2023//26 Pharmaceutical Management Pharmaceutical Information Portal, Multi-sectoral Collaboration and Research, Development, and","Alipoota eno esasuliddwa okuyita mu nkola ya Minisita ey’enkola y’emirimu n’enkola y’embalirira, akalulu ka NMS 116 Engabanya y’ebikozesebwa mu kifo ky’ebyobulamu, Alipoota y’okugerageranya omuwendo gw’ebintu ebikulu n’ebikozesebwa mu by’obulamu eby’omugaso, FY 2023//26 Pharmaceutical Management Pharmaceing Information Portal, enkolagana ey’ebitundu bingi n’okunoonyereza, okukulaakulanya, n’okuddukanya eddagala"
Annual Pharmaceutical Services Performance Report Data on Pharmaceutical Services Performance is presented below.,Obuweereza bw’eddagala buli mwaka Lipoota y’emirimu Data ku nkola y’obuweereza bw’eddagala eyanjuliddwa wansi.
Data from the previous years is shown to measure the annual progress made.,Ebiwandiiko okuva mu myaka egiyise biragiddwa okupima enkulaakulana ey’omwaka ekoleddwa.
The documents are outlined in quantification report for default/files/resources/Mo.,Ebiwandiiko birambikiddwa mu Lipoota y’Okugerageranya (quantification Report) olw’okusooka/Fayiro/Eby’obugagga/MO.
Leadership Capacity Building Physical and online meetings In collaboration with the of the training was to strengthen health supply chain leadership and governance coordination mechanisms through existing structures and decision-making organs to improve Health Supply Chain (HSC) performance in local governments and health facilities.,Okuzimba obusobozi bw’obukulembeze mu nkiiko z’omubiri n’oku yintaneeti nga bakolagana n’enkola y’okutendeka abantu mu by’obulamu n’enfuga ey’okukwasaganya emirimu nga bayita mu nsengeka eziriwo n’ebitongole ebisalawo okutumbula enkola y’emirimu gy’ebyobulamu (HSC) mu gavumenti z’ebitundu n’ebifo by’ebyobulamu.
"The training meetings were guided by the six  HSC leadership, management, and governance modules through a structured training and mentorship approach, namely,  overview of HSC management,  principles of governance,  action-oriented leadership,  strategic planning, budgeting, and financing of HSC,  HSC policy development and implementation,  overview of drivers of change.","Enkiiko z’okutendekebwa zaali zirambikiddwa modulo omukaaga ez’obukulembeze bwa HSC, enzirukanya, n’enfuga nga ziyita mu nkola ey’okutendekebwa n’okubuulirira entegeke, kwe kugamba, okulambika enzirukanya ya HSC, emisingi gy’okufuga, obukulembeze obugenderera ebikolwa, enteekateeka ey’obukodyo, embalirira, n’ensimbi za HSC, okukola enkola ya HSC n’okussa mu nkola, okulambika ebivuddeko enkyukakyuka."
"Overall, there has been an improvement in performance across the accreditation criteria for all referral for Mulago NRH, as illustrated in chain TWGs, Co. E-accredited management Hub & Spoke model.","Okutwaliza awamu, wabaddewo okulongoosa mu nkola yonna ey’okukkiriza okusindikibwa kwonna eri Mulago NRH, nga bwe kiragibwa mu Chain TWGS, CO. E-accredited Management Hub & Spoke Model."
"The SDP may be a static facility, a community health outreach post, or a household.","SDP eyinza okuba ekifo ekitali kikyukakyuka, ekifo eky’okubunyisa ebyobulamu mu kitundu, oba amaka."
H DPNM has implemented several strategies to promote last mile assurance.,H DPNM etadde mu nkola enkola eziwerako okutumbula okukakasa mayiro ezisembayo.
"Health Commodity Accountability including the National Malaria Control Division (NMCD), AIDS Control Program (ACP), and the Reproductive and Infant (R&I) and the NMS Client Self Services Portal (CSSP) to establish the extent to which health facilities are accounting for health commodities.","Obuvunaanyizibwa bw’ebintu eby’obulamu omuli ekitongole ekivunaanyizibwa ku kulwanyisa omusujja gw’ensiri mu ggwanga (NMCD), AIDS Control Programme (ACP), n’ekitongole ekizaala n’abaana abawere (R&I) ne NMS Client Self Services Portal (CSSP) okuteekawo ekigero ebifo by’ebyobulamu we bibeera okubala ebintu by’ebyobulamu."
"For malaria Commodities, morbidity and diagnosis data from DHIS2 was compared with malaria commodity supply data from NMS to health facilities for FY 2022/2023.","Ku bintu ebikozesebwa mu musujja, ebikwata ku bulwadde n’okuzuula obulwadde okuva mu DHIS2 byageraageranyizibwa ku biwandiiko by’omusujja gw’ensiri okuva mu NMS okutuuka mu bifo by’ebyobulamu eby’omwaka gw’ebyensimbi 2022/2023."
"For Family Planning, HIV, and Laboratory commodities; expected stock on hand (SOH) estimated as opening balance plus quantity received plus adjustments, less consumption data and losses, was compared with reported closing balance (COB) for each of the cycles one () to five ().","ku nteekateeka y’amaka, akawuka ka siriimu, n’ebintu ebikozesebwa mu laboratory; Sitooki esuubirwa ku mukono (SOH) ebalirirwa nga bbalansi y’okuggulawo nga kwogasse n’ennongoosereza ezifunibwa nga kwogasse n’ennongoosereza, ebitono ebikwata ku kukozesa n’okufiirwa, yageraageranyizibwa ku bbalansi y’okuggalawo eyaloopebwa (COB) ku buli emu ku nsengekera emu () okutuuka ku ttaano ()."
The potentially unaccounted for commodities/funds for each health facility were aggregated to estimate the total volume/value for each of the 136 districts.,Ebiyinza okuba nga tebibalirirwamu bikozesebwa/ensimbi ku buli kifo ky’ebyobulamu byagattibwa wamu okubalirira omuwendo/omuwendo gwonna ku buli emu ku disitulikiti 136.
Data for the 10 cities was considered under each of the parent districts.,Ebiwandiiko by’ebibuga 10 byalowoozebwako wansi wa buli emu ku disitulikiti ezizadde.
"Although positions for HC4, resource structure, many districts have been reluctant to recruit for these roles, citing inadequate funding.","Wadde nga ebifo bya HC4, ensengeka y’ebintu, disitulikiti nnyingi zibadde teziyagala kuyingiza mirimu gino, nga zijuliza ensimbi ezitamala."
"This has likely contributed to accountability challenges for health commodities, as one of the key responsibilities of a health facility or district Pharmacist is to ensure proper accountability 3.1.4.2.","Kino kirabika kivuddeko okusoomoozebwa kw’obuvunaanyizibwa ku bintu eby’obulamu, kubanga ekimu ku bikulu obuvunaanyizibwa bw’ekitongole ky’ebyobulamu oba omusawo w’eddagala mu disitulikiti kwe kulaba ng’obuvunaanyizibwa buvunaanyizibwa 3.1.4.2."
"Accountability was tracked using stock cards, requisition and issue vouchers, as well as dispensing and laboratory registers.","Obuvunaanyizibwa bwalondoolebwa nga bakozesa kaadi za sitooka, requisition ne issue vouchers, wamu ne dispensing ne laboratory registers."
"However, the highest discrepancies were observed in combined cycle deliveries.","Naye, obutakwatagana obusinga obunene bwalabiddwa mu kuzaala enzirukanya ezigatta."
"To address this, NMS combined distribution cycles to align with the Although health facilities are using accountability tools, challenges persist at dispensing units, where some facilities struggle to complete daily and monthly summaries of dispensed medicines and health supplies.","Okusobola okukola ku kino, NMS okugatta enzirukanya y’okugaba okukwatagana n’ebifo eby’obulamu wadde nga bakozesa ebikozesebwa mu buvunaanyizibwa, okusoomoozebwa kukyaliwo mu bifo ebigaba ebintu, ng’ebifo ebimu birwana okumaliriza mu bufunze buli lunaku n’omwezi eby’eddagala eriweebwa n’ebikozesebwa mu bulamu."
"To improve facility performance, a multipronged approach is needed, including on-site training, mentorship, intensified supervision by District Health Teams, self-audits by health facility staff, and involvement of Local Government Leaders in reconciliation and accountability efforts.","Okulongoosa enkola y’ebifo, enkola ey’emitendera mingi yeetaagibwa, omuli okutendekebwa mu kifo, okubuulirira, okulabirira okw’amaanyi ttiimu z’ebyobulamu mu disitulikiti, okwebala abasomesa abakozi b’ekifo ky’ebyobulamu, n’okwenyigira kw’abakulembeze ba gavumenti z’ebitundu mu kaweefube w’okutabaganya n’okuvunaanyizibwa."
"Additionally, the rollout of Electronic Logistics Management Information Systems (e. LMIS) should be fast-tracked and prioritized to enhance accountability and tracking of health commodities.","Okugatta ku ekyo, okutandikawo enkola z’amawulire agakwata ku kuddukanya emirimu mu byuma bikalimagezi (E. LMIS) kulina okugobererwa amangu era ne kukulembeza okutumbula obuvunaanyizibwa n’okulondoola ebintu eby’obulamu."
An in-depth spot-check assessment was done for reproductive health commodities.,Okukebera mu bujjuvu okukebera ekifo kyakolebwa ku bintu eby’obulamu eby’okuzaala.
"The value of sampled health commodities delivered was $.08, which is equivalent to 90% of the total value of UNFPA programme supplies delivered to the Mo.","Omuwendo gw’ebintu eby’obulamu ebyaweebwa sampuli gwali $.08, nga kino kyenkanawa ne 90% ku muwendo gwonna ogw’ebintu bya pulogulaamu ya UNFPA ebituusibwa eri MO."
NMS and JMS warehouses were adequately equipped and maintained the storage of health supplies.,Sitoowa za NMS ne JMS zaali zirina ebikozesebwa ebimala era nga zikuuma okutereka ebintu eby’obulamu.
"However, the storage infrastructure at 7 out of 12 sampled Service Delivery Points (SDPs) was not in good condition due to budgetary constraints which inhibited regular maintenance and purchase of store equipment.","Wabula, enkola y’okutereka ku 7 ku 12 sampled service points points (SDPs) teyali mu mbeera nnungi olw’obuzibu bw’embalirira eyaziyiza okuddaabiriza buli kiseera n’okugula ebyuma bya sitoowa."
Eleven  out of the 14 sampled facilities had maintained inventory records and the supplies received were recorded in stock cards.,Ebifo 11 ku 14 ebyakwatibwa sampuli byali bikuumye ebiwandiiko by’ebintu era ebikozesebwa ebyafunibwa byawandiikibwa mu sitoowa.
Syringes 1ml were observed to be overstocked at seven  health facilities because Depo Provera was issued without the syringes during interfacility transfers.,Empiso 1ml zaalabiddwa nga zisusse mu bifo by’ebyobulamu musanvu kubanga DEPO Provera yafulumizibwa nga tewali mpiso mu kiseera ky’okukyusa enkolagana.
"Jadelle, Implanon NXT and Depo Provera were found to be overstocked across 3 out of 12 service delivery points (SDPs).","Jadelle, Implanon NXT ne DEPO Provera zaasangiddwa nga zisukkiridde okubeera nga zikoleddwa mu bifo 3 ku 12 eby’okugaba obuweereza (SDPs)."
"Annual Pharmaceutical Services Performance Report Health Commodity Ordering and reporting Health facilities place routine orders for health commodities based on a defined annual ordering schedule, which is developed and disseminated by NMS and JMS to the public and PNFP/PFP health facilities respectively.","Eddagala eriweebwa buli mwaka Lipoota y’emirimu gy’ebyobulamu Okulagira n’okukola lipoota Ebifo by’ebyobulamu biteeka ebiragiro ebya bulijjo ku bintu eby’obulamu nga byesigamiziddwa ku nteekateeka y’okulagira buli mwaka etegeerekese, ekolebwa era n’esaasaanyizibwa NMS ne JMS eri abantu bonna n’ebifo by’ebyobulamu ebya PNFP/PFP."
H approved order and report templates and systems are used to place orders.,H Ebipande n’enkola ezikkirizibwa n’enkola ezikkirizibwa zikozesebwa okuteeka ebiragiro.
"To address this challenge, the warehouse-integrated ordering system was introduced, extending the warehouse Enterprise Resource Platform (ERP) to include the client service portal.","Okusobola okukola ku kusoomoozebwa kuno, enkola y’okulagira ey’okugatta mu sitoowa yayanjulwa, n’egaziya ku nkola ya Warehouse Enterprise Resource Platform (ERP) okussaamu omukutu gw’okuweereza bakasitoma."
Late orders are automatically locked out unless an extension is formally authorized.,Ebiragiro ebikeerezi biggalwa mu ngeri ey’otoma okuggyako ng’okwongezaayo kukkiriziddwa mu butongole.
"Each health facility is required to order specific health commodity categories based on its accreditation and service level, following the one facility, one warehouse policy, as per the ordering schedule developed and shared by the warehouse.","Buli kifo ky’ebyobulamu kyetaagibwa okulagira ebika by’ebintu eby’obulamu ebitongole okusinziira ku mutendera gwakyo ogw’okukkiriza n’obuweereza, nga kigoberera ekifo kimu, enkola emu ey’omu sitoowa, nga bwe kiri mu nteekateeka y’okulagira eyakolebwa era n’egabana sitoowa."
"These categories include Essential Medicines and Health Supplies (EMHS, commonly referred to as the credit line), HIV Test Kits, Laboratory supplies, Tuberculosis (TB) medicines, Multi-Drug Resistant (MDR) TB medicines, and Reproductive Health To ensure that all required orders from a health facility are placed within a particular order cycle, tracking is based on the different commodity categories.","Ebika bino mulimu eddagala ery’omugaso n’ebikozesebwa mu bulamu (EMHS, ebitera okuyitibwa ebbanja ly’ebbanja), ebikozesebwa mu kukebera akawuka ka siriimu, ebikozesebwa mu laboratory, eddagala ly’akafuba (TB), eddagala eriziyiza eddagala eringi (MDR) TB, n’obulamu bw’okuzaala okukakasa nti ebiragiro byonna ebyetaagisa okuva mu kifo ky’ebyobulamu biteekebwa mu nsengekera y’ebiragiro entongole, okulondoola kwesigamiziddwa ku bitundu by’ebintu eby’enjawulo."
Order rate performance is measured by the timely submission of complete order sets.,Omulimu gw’omutindo gw’okulagira gupimibwa nga guweereddwayo mu budde ensengekera z’okulagira ezijjuvu.
"As such, ordering rate performance is defined as the number of facilities that submitted the expected complete order sets within each order cycle.","Nga bwe kiri, omulimu gw’okulagira gunnyonnyolwa ng’omuwendo gw’ebikozesebwa ebyawaayo ebisuubirwa mu ndagiriro enzijuvu mu buli mutendera gw’okulagira."
"Public health facilities commodity ordering using NMS+ CSSP National Medical Stores is mandated to procure, store and distribute EMHS to all public health facilities within the country, including Army, Police and Prisons health facilities.","Ebifo by’ebyobulamu eby’olukale Okulagira nga tukozesa NMS+ CSSP National Medical Stores kiweereddwa obuyinza okugula, okutereka n’okusaasaanya EMHS mu bifo byonna eby’obulamu mu ggwanga, omuli amagye, poliisi n’ebifo eby’obulamu eby’amakomera."
"NMS serves over public health facilities at various levels of care, with over  being Health Center IIIs and above, while the rest are Health Center IIs.","NMS eweereza ku bifo by’ebyobulamu eby’olukale ku mitendera egy’enjawulo egy’okulabirira, nga over being health centre IIISs n’okudda waggulu, ate ebisigadde ye Health Center IIS."
The average ordering rate using NMS+ CSSP for both lower and higher-level public health facilities has been sustained at >95% in FY 2023/24 for program and nonprogram commodities across the six order cycles as shown in,Omuwendo gwa wakati ogw’okugula nga tukozesa NMS+ CSSP ku bifo byombi eby’ebyobulamu ebya wansi n’eby’omutindo ogwa waggulu bibaddewo ku >95% mu mwaka gw’ebyensimbi 2023/24 ku bintu bya pulogulaamu n’ebitali bya pulogulaamu mu mitendera omukaaga egy’okulagira nga bwe kiragibwa mu
"The system was rolled out in , enhancing an integrated approach to ordering, order consolidation, fulfillment, tracking, and analytics.","Enkola eno yafulumizibwa mu , okutumbula enkola ey’okugatta okulagira, okunyweza okulagira, okutuukiriza, okulondoola, n’okwekenneenya."
"All commodity orders for Cycle 4, 5 & for Antiretrovirals (ARVs), anti-malarials, Test Kits, Laboratory supplies, Reproductive Health commodities, Anti-Tuberculosis commodities, and others were submitted through the JMS-IOS.","Ebiragiro byonna eby’ebintu ebikozesebwa mu kukebera enzirukanya 4, 5 & ku ddagala eriweweeza ku kawuka ka siriimu (ARVs), eddagala eriweweeza ku musujja, ebikozesebwa mu kukebera, ebikozesebwa mu laboratory, ebikozesebwa mu bulamu bw’okuzaala, ebikozesebwa mu kulwanyisa akafuba, n’ebirala byaweebwayo nga biyita mu JMS-IOS."
"These were achieved through system development, training of  participants from 140 districts/ cities, and system account creation.","Bino byatuukibwako nga bayita mu kukulaakulanya enkola, okutendeka abeetabye mu kutendekebwa okuva mu disitulikiti/ ebibuga 140, n’okutondawo akawunti z’enkola."
Vaccine ordering Vaccine orders were submitted by all 136 districts during .,Ebiragiro by'okugema ebigema byaweebwayo disitulikiti zonna 136 mu kiseera kya .
Annual Pharmaceutical Services Performance Report Order fill rate refers to the extent to which health facility order lines are filled by the respective warehouse(s) in a given ordering period.,Eddagala ery’omwaka eriweebwa lipoota y’emirimu Okujjuza omuwendo gw’okujjuza kitegeeza okutuuka wa layini z’okulagira ekifo ky’ebyobulamu we zijjibwamu sitoowa (s) ezikwatagana mu kiseera ekigere eky’okulagira.
Public Sector (NMS performance) The delivery of health commodities is based on published monthly or bimonthly schedules.,Ekitongole kya gavumenti (NMS performance) Okutuusa ebintu by’ebyobulamu kwesigamiziddwa ku nteekateeka ezifulumizibwa buli mwezi oba buli luvannyuma lwa myezi ebiri.
"Quantity of commodities delivered is informed by procurement plan, orders, and availability of commodities at the warehouse.","Omuwendo gw’ebintu ebiweebwa gutegeezebwa enteekateeka y’okugula ebintu, ebiragiro, n’okubeerawo kw’ebintu ebikozesebwa mu sitoowa."
"In Q4 of FY 2023/24, the average lead time for routine bimonthly orders in the public sector was 60 days compared to 30 days in the PNFP sector.","Mu Q4 ya FY 2023/24, ekiseera ekikulembera ekitera okukulembera oda za bulijjo buli luvannyuma lwa myezi ebiri mu kitongole kya gavumenti kyali kya nnaku 60 bw’ogeraageranya n’ennaku 30 mu kitongole kya PNFP."
The increase in lead time in the public sector was due to delays arising from the delay of release of operational funds from (Mo.,Okweyongera kw’obudde bw’okukulembera mu bitongole bya gavumenti kwabadde kwa kulwawo okuva mu kulwawo okufulumya ssente z’emirimu okuva mu (Mo.
The cut-offs were determined based on the severe malaria cases submitted into DHIS2.,Okusalako kuno kwazuuliddwa okusinziira ku balwadde ab’amaanyi abaali bafunye omusujja gw’ensiri ogwaweebwayo mu DHIS2.
"However, due to DHIS2 downtime, reporting was affected in the REPORTING IN FY 2023/243.2.3.2.","Wabula olw’obudde bwa DHIS2, lipoota yakosebwa mu lipoota mu mwaka gw’ebyensimbi 2023/243.2.3.2."
Health facility availability The average availability of a basket of 41 tracer commodities in the last quarter of FY 2023/24 was 64% for  functional reporting health facilities (public & PNFPs) that reported (refer to This was below the annual target of 90% and an increase of 6 percentage points compared with the last quarter of FY 2022/23 which was 58%.,Okubeerawo kw’ekifo ky’ebyobulamu Okubeerawo kwa wakati kw’ekisero ky’ebintu 41 eby’okulondoola mu kwata y’omwaka oguwedde ogwa FY 2023/24 kyali 64% ku bifo eby’obulamu eby’emirimu (Public & PNFPs) ebyategeeza (kitegeeza nti kino kyali wansi w’ekiruubirirwa kya 90% eky’omwaka n’okweyongera kwa bitundu 6 ku buli 100 bw’ogeraageranya n’ekitundu ekisembayo ekya FY 20222/23/23 58%.
"ART regimen optimization (change of first line regimens) affected reporting from health facilities, because optimized regimens were not incorporated into the routine data collection tools.","ART regimen optimization (okukyusa enkola z’ennyiriri ezisooka) okukosa lipoota okuva mu bifo by’ebyobulamu, kubanga enkola ezisinga obulungi tezaayingizibwa mu bikozesebwa ebya bulijjo eby’okukung’aanya ebikwata ku bantu."
"The tracer ARVs that were being tracked cover only a small section of ART Clients and the others are obsolete, which essentially affected the availability of ARVs.","tracer ARVs ezaali zirondoolebwa zibikka ekitundu ekitono kyokka ekya bakasitoma b’ebyemikono n’endala tezikyaliwo, mu bukulu ekyakosa okubeerawo kwa ARVs."
"Central Level Warehouse Availability The overall availability of supplies for a basket of 41 Commodities and health supplies at Central Level Warehouses (NMS and JMS) was 70%, which was below the target of 80% (refer to QUARTER IN FY 2023/243.2.5.","Central Level Warehouse Availability Okutwalira awamu okufuna ebikozesebwa ku kibbo ky’ebintu 41 n’ebikozesebwa mu bulamu ku sitoowa ez’omutendera ogw’omu makkati (NMS ne JMS) kyali 70%, ekyali wansi w’ekiruubirirwa kya 80% (laba kwata y’omwaka gw’ebyensimbi 2023/243.2.5."
These interventions are aimed at addressing product expiry and wastage.,Enkola zino zigendereddwamu okukola ku bivaamu n‟okusaasaanya.
"The graph was split into two ( 13), basing on the value of expiries.","Grafu yayawulwamu ebitundu bibiri ( 13), okusinziira ku muwendo gw’ebigenda okuggwaako."
"Annual Pharmaceutical Services Performance Report During the last quarter of the year, , commodity expiry decreased by 40% and 51% for ARVs and EMHS respectively, however it was still high compared to other commodity baskets namely TB, RMNCAH, and Laboratory.","Lipoota y’emirimu gy’eddagala buli mwaka mu kwata y’omwaka ewedde, , okuggwaako kw’ebintu byakendeera ebitundu 40% ne 51% ku ARVs ne EMHS, wabula yali ekyali waggulu bw’ogeraageranya n’ebisero ebirala eby’ebintu okuli TB, RMNCAH, ne laboratory."
This is attributed to the transition from obsolete to optimal regimens.,Kino kiva ku kukyuka okuva mu nkola ezitaliiko mugaso okudda mu nkola ezisinga obulungi.
