English,Luganda
"annual pharmaceutical services performance report annual pharmaceutical services performance report all parts of this publication may be reproduced in any form, provided due acknowledgement is given.","annual pharmaceutical services performance report alipoota y’emirimu gy’eddagala ey’omwaka alipoota y’omutindo gw’emirimu gyonna ebitundu by’ekitabo kino biyinza okuddamu okukolebwa mu ngeri yonna, kasita okusiima kuweebwa."
copies may be obtained from:,kopi ziyinza okufunibwa okuva mu:
annual pharmaceutical services performance report the development of the annual pharmaceutical services performance report for the financial year (fy) 2023/24 was led by the medicines (dpnm).,alipoota y’emirimu gy’eddagala buli mwaka alipoota y’okukola lipoota y’emirimu gy’eddagala eriweebwa buli mwaka mu mwaka gw’ebyensimbi (fy) 2023/24 yakulemberwa eddagala (dpnm).
"a special acknowledgment is due to the united nations population fund (unfpa) for their generous financial support, which made the development of this report possible.","okukkiriza okw’enjawulo kuva ku kitongole ky’amawanga amagatte ekivunaanyizibwa ku bungi bw’abantu (unfpa) olw’obuyambi bwabwe obw’amaanyi mu by’ensimbi, ekyasobozesa okukulaakulanya alipoota eno okusoboka."
annual pharmaceutical services performance report the annual pharmaceutical services performance report 2023/24 reviews the progress made towards achieving the targets set in the national pharmaceutical services strategic plan (npssp) progress is assessed by examining the trends in the 32 selected indicators over time and comparing them to set targets.,lipoota y’emirimu gy’eddagala buli mwaka lipoota y’emirimu gy’eddagala buli mwaka alipoota y’emirimu 2023/24 etunuulira enkulaakulana ekoleddwa okutuuka ku biruubirirwa ebiteekeddwa mu nteekateeka y’eggwanga ey’okuweereza mu nteekateeka y’obuweereza bw’eddagala (npssp) yeekenneenyezebwa nga twekenneenya emitendera mu bipimo 32 ebirondeddwa mu biseera n’okubageraageranya okuteekawo ebiruubirirwa.
the report covers eleven priority areas of the npssp which are aligned with the objectives in the national medicines policy 2015.,alipoota eno ekwata ku bitundu kkumi na kimu eby’okukulembeza npssp ebikwatagana n’ebigendererwa mu nkola y’eddagala ly’eggwanga 2015.
"annual pharmaceutical services performance report the data collection process was in accordance with the standard and approved procedures, methods, and tools outlined in the monitoring and evaluation plan for the npssp.","alipoota y’omulimu gw’okukola eddagala buli mwaka enkola y’okukung’aanya ebikwata ku bantu yali egoberera enkola, enkola, enkola, n’ebikozesebwa ebikkirizibwa, n’ebikozesebwa ebyalagibwa mu nteekateeka y’okulondoola n’okwekenneenya npssp."
"the data is collected on an annual basis, analyzed, and reported by the governance, leadership, and pharmaceutical information portal (pip), medicines procurement and management (mpm) technical working group (twg), csg, 10-year supply and management structures: implementation nms and jms issues and stock on hand (soh) reports, hmis 105 reports, spars reports, warehouse online stock status report (ossr), online facility stock status report (ofssr), nms cssp, jms integrated ordering system.","the data is collected on an annual basis, analyzed, and reported by the governance, leadership, and pharmaceutical information portal (pip), medicines procurement and management (mpm) technical working group (twg), csg, 10-year supply and management structures: implementation nms and jms issues and stock on hand (soh) reports, hmis 105 reports, spars reports, warehouse online stock status report (ossr), online facility stock status report (ofssr), nms cssp, jms enkola y’okulagira okugatta."
annual pharmaceutical services performance report the indicators selected were based on the priority strategies outlined in the npssp.,alipoota y’emirimu gy’eddagala buli mwaka ebipimo ebirondeddwa byasinziira ku nkola z’okukulembeza eziragiddwa mu npssp.
"to ensure standardized measurements, operational definitions were clearly defined for each indicator, with the data source, collection and calculation method, and data limitations described in the monitoring and evaluation (m&e) plan.","okukakasa ebipimo ebituufu, ennyonyola z’emirimu zaali zitegeezeddwa bulungi ku buli kiraga, n’ensibuko y’amawulire, enkola y’okukung’aanya n’okubalirira, n’obuzibu bw’ebikwata ku biwandiiko ebinnyonnyoddwa mu nteekateeka y’okulondoola n’okwekenneenya (m&e)."
"where indicators can be measured through more than one source of data, these are presented together for the purpose of comparison and validation.","awali ebiraga ebiyinza okupimibwa okuyita mu nsibuko y’ebiwandiiko ebisukka mu emu, bino biragiddwa wamu n’ekigendererwa eky’okugeraageranya n’okukakasa."
data was entered into stata and different excel workbooks and cleaned to ensure errors were corrected.,data yayingizibwa mu stata n’ebitabo bya excel eby’enjawulo ne biyonjebwa okukakasa nti ensobi zitereezebwa.
descriptive statistics for each indicator were generated.,ebibalo ebinnyonnyola ku buli kiraga byakolebwa.
the focus of the analysis was the current performance compared to the previous years performance and set targets.,essira mu kwekenneenya kwali kukola mu kiseera kino bw’ogeraageranya n’omutindo gw’emyaka egiyise n’okuteekawo ebiruubirirwa.
"this report is disseminated through the ministerial policy statement and budget framework paper, nms vote 116 health facility resource allocations, integrated quantification report for essential medicines and health supplies, fy 2023//26 pharmaceutical management pharmaceutical information portal, multi-sectoral collaboration and research, development, and","alipoota eno esasuliddwa okuyita mu nkola ya minisita ey’enkola y’emirimu n’enkola y’embalirira, akalulu ka nms 116 engabanya y’ebikozesebwa mu kifo ky’ebyobulamu, alipoota y’okugerageranya omuwendo gw’ebintu ebikulu n’ebikozesebwa mu by’obulamu eby’omugaso, fy 2023//26 pharmaceutical management pharmaceing information portal, enkolagana ey’ebitundu bingi n’okunoonyereza, okukulaakulanya, n’okuddukanya eddagala"
annual pharmaceutical services performance report data on pharmaceutical services performance is presented below.,obuweereza bw’eddagala buli mwaka lipoota y’emirimu data ku nkola y’obuweereza bw’eddagala eyanjuliddwa wansi.
data from the previous years is shown to measure the annual progress made.,ebiwandiiko okuva mu myaka egiyise biragiddwa okupima enkulaakulana ey’omwaka ekoleddwa.
the documents are outlined in quantification report for default/files/resources/mo.,ebiwandiiko birambikiddwa mu lipoota y’okugerageranya (quantification report) olw’okusooka/fayiro/eby’obugagga/mo.
leadership capacity building physical and online meetings in collaboration with the of the training was to strengthen health supply chain leadership and governance coordination mechanisms through existing structures and decision-making organs to improve health supply chain (hsc) performance in local governments and health facilities.,okuzimba obusobozi bw’obukulembeze mu nkiiko z’omubiri n’oku yintaneeti nga bakolagana n’enkola y’okutendeka abantu mu by’obulamu n’enfuga ey’okukwasaganya emirimu nga bayita mu nsengeka eziriwo n’ebitongole ebisalawo okutumbula enkola y’emirimu gy’ebyobulamu (hsc) mu gavumenti z’ebitundu n’ebifo by’ebyobulamu.
"the training meetings were guided by the six hsc leadership, management, and governance modules through a structured training and mentorship approach, namely, overview of hsc management, principles of governance, action-oriented leadership, strategic planning, budgeting, and financing of hsc, hsc policy development and implementation, overview of drivers of change.","enkiiko z’okutendekebwa zaali zirambikiddwa modulo omukaaga ez’obukulembeze bwa hsc, enzirukanya, n’enfuga nga ziyita mu nkola ey’okutendekebwa n’okubuulirira entegeke, kwe kugamba, okulambika enzirukanya ya hsc, emisingi gy’okufuga, obukulembeze obugenderera ebikolwa, enteekateeka ey’obukodyo, embalirira, n’ensimbi za hsc, okukola enkola ya hsc n’okussa mu nkola, okulambika ebivuddeko enkyukakyuka."
"overall, there has been an improvement in performance across the accreditation criteria for all referral for mulago nrh, as illustrated in chain twgs, co. e-accredited management hub & spoke model.","okutwaliza awamu, wabaddewo okulongoosa mu nkola yonna ey’okukkiriza okusindikibwa kwonna eri mulago nrh, nga bwe kiragibwa mu chain twgs, co. e-accredited management hub & spoke model."
"the sdp may be a static facility, a community health outreach post, or a household.","sdp eyinza okuba ekifo ekitali kikyukakyuka, ekifo eky’okubunyisa ebyobulamu mu kitundu, oba amaka."
h dpnm has implemented several strategies to promote last mile assurance.,h dpnm etadde mu nkola enkola eziwerako okutumbula okukakasa mayiro ezisembayo.
"health commodity accountability including the national malaria control division (nmcd), aids control program (acp), and the reproductive and infant (r&i) and the nms client self services portal (cssp) to establish the extent to which health facilities are accounting for health commodities.","obuvunaanyizibwa bw’ebintu eby’obulamu omuli ekitongole ekivunaanyizibwa ku kulwanyisa omusujja gw’ensiri mu ggwanga (nmcd), aids control programme (acp), n’ekitongole ekizaala n’abaana abawere (r&i) ne nms client self services portal (cssp) okuteekawo ekigero ebifo by’ebyobulamu we bibeera okubala ebintu by’ebyobulamu."
"for malaria commodities, morbidity and diagnosis data from dhis2 was compared with malaria commodity supply data from nms to health facilities for fy 2022/2023.","ku bintu ebikozesebwa mu musujja, ebikwata ku bulwadde n’okuzuula obulwadde okuva mu dhis2 byageraageranyizibwa ku biwandiiko by’omusujja gw’ensiri okuva mu nms okutuuka mu bifo by’ebyobulamu eby’omwaka gw’ebyensimbi 2022/2023."
"for family planning, hiv, and laboratory commodities; expected stock on hand (soh) estimated as opening balance plus quantity received plus adjustments, less consumption data and losses, was compared with reported closing balance (cob) for each of the cycles one () to five ().","ku nteekateeka y’amaka, akawuka ka siriimu, n’ebintu ebikozesebwa mu laboratory; sitooki esuubirwa ku mukono (soh) ebalirirwa nga bbalansi y’okuggulawo nga kwogasse n’ennongoosereza ezifunibwa nga kwogasse n’ennongoosereza, ebitono ebikwata ku kukozesa n’okufiirwa, yageraageranyizibwa ku bbalansi y’okuggalawo eyaloopebwa (cob) ku buli emu ku nsengekera emu () okutuuka ku ttaano ()."
the potentially unaccounted for commodities/funds for each health facility were aggregated to estimate the total volume/value for each of the 136 districts.,ebiyinza okuba nga tebibalirirwamu bikozesebwa/ensimbi ku buli kifo ky’ebyobulamu byagattibwa wamu okubalirira omuwendo/omuwendo gwonna ku buli emu ku disitulikiti 136.
data for the 10 cities was considered under each of the parent districts.,ebiwandiiko by’ebibuga 10 byalowoozebwako wansi wa buli emu ku disitulikiti ezizadde.
"although positions for hc4, resource structure, many districts have been reluctant to recruit for these roles, citing inadequate funding.","wadde nga ebifo bya hc4, ensengeka y’ebintu, disitulikiti nnyingi zibadde teziyagala kuyingiza mirimu gino, nga zijuliza ensimbi ezitamala."
"this has likely contributed to accountability challenges for health commodities, as one of the key responsibilities of a health facility or district pharmacist is to ensure proper accountability 3.1.4.2.","kino kirabika kivuddeko okusoomoozebwa kw’obuvunaanyizibwa ku bintu eby’obulamu, kubanga ekimu ku bikulu obuvunaanyizibwa bw’ekitongole ky’ebyobulamu oba omusawo w’eddagala mu disitulikiti kwe kulaba ng’obuvunaanyizibwa buvunaanyizibwa 3.1.4.2."
"accountability was tracked using stock cards, requisition and issue vouchers, as well as dispensing and laboratory registers.","obuvunaanyizibwa bwalondoolebwa nga bakozesa kaadi za sitooka, requisition ne issue vouchers, wamu ne dispensing ne laboratory registers."
"however, the highest discrepancies were observed in combined cycle deliveries.","naye, obutakwatagana obusinga obunene bwalabiddwa mu kuzaala enzirukanya ezigatta."
"to address this, nms combined distribution cycles to align with the although health facilities are using accountability tools, challenges persist at dispensing units, where some facilities struggle to complete daily and monthly summaries of dispensed medicines and health supplies.","okusobola okukola ku kino, nms okugatta enzirukanya y’okugaba okukwatagana n’ebifo eby’obulamu wadde nga bakozesa ebikozesebwa mu buvunaanyizibwa, okusoomoozebwa kukyaliwo mu bifo ebigaba ebintu, ng’ebifo ebimu birwana okumaliriza mu bufunze buli lunaku n’omwezi eby’eddagala eriweebwa n’ebikozesebwa mu bulamu."
"to improve facility performance, a multipronged approach is needed, including on-site training, mentorship, intensified supervision by district health teams, self-audits by health facility staff, and involvement of local government leaders in reconciliation and accountability efforts.","okulongoosa enkola y’ebifo, enkola ey’emitendera mingi yeetaagibwa, omuli okutendekebwa mu kifo, okubuulirira, okulabirira okw’amaanyi ttiimu z’ebyobulamu mu disitulikiti, okwebala abasomesa abakozi b’ekifo ky’ebyobulamu, n’okwenyigira kw’abakulembeze ba gavumenti z’ebitundu mu kaweefube w’okutabaganya n’okuvunaanyizibwa."
"additionally, the rollout of electronic logistics management information systems (e. lmis) should be fast-tracked and prioritized to enhance accountability and tracking of health commodities.","okugatta ku ekyo, okutandikawo enkola z’amawulire agakwata ku kuddukanya emirimu mu byuma bikalimagezi (e. lmis) kulina okugobererwa amangu era ne kukulembeza okutumbula obuvunaanyizibwa n’okulondoola ebintu eby’obulamu."
an in-depth spot-check assessment was done for reproductive health commodities.,okukebera mu bujjuvu okukebera ekifo kyakolebwa ku bintu eby’obulamu eby’okuzaala.
"the value of sampled health commodities delivered was $.08, which is equivalent to 90% of the total value of unfpa programme supplies delivered to the mo.","omuwendo gw’ebintu eby’obulamu ebyaweebwa sampuli gwali $.08, nga kino kyenkanawa ne 90% ku muwendo gwonna ogw’ebintu bya pulogulaamu ya unfpa ebituusibwa eri mo."
nms and jms warehouses were adequately equipped and maintained the storage of health supplies.,sitoowa za nms ne jms zaali zirina ebikozesebwa ebimala era nga zikuuma okutereka ebintu eby’obulamu.
"however, the storage infrastructure at 7 out of 12 sampled service delivery points (sdps) was not in good condition due to budgetary constraints which inhibited regular maintenance and purchase of store equipment.","wabula, enkola y’okutereka ku 7 ku 12 sampled service points points (sdps) teyali mu mbeera nnungi olw’obuzibu bw’embalirira eyaziyiza okuddaabiriza buli kiseera n’okugula ebyuma bya sitoowa."
eleven out of the 14 sampled facilities had maintained inventory records and the supplies received were recorded in stock cards.,ebifo 11 ku 14 ebyakwatibwa sampuli byali bikuumye ebiwandiiko by’ebintu era ebikozesebwa ebyafunibwa byawandiikibwa mu sitoowa.
syringes 1ml were observed to be overstocked at seven health facilities because depo provera was issued without the syringes during interfacility transfers.,empiso 1ml zaalabiddwa nga zisusse mu bifo by’ebyobulamu musanvu kubanga depo provera yafulumizibwa nga tewali mpiso mu kiseera ky’okukyusa enkolagana.
"jadelle, implanon nxt and depo provera were found to be overstocked across 3 out of 12 service delivery points (sdps).","jadelle, implanon nxt ne depo provera zaasangiddwa nga zisukkiridde okubeera nga zikoleddwa mu bifo 3 ku 12 eby’okugaba obuweereza (sdps)."
"annual pharmaceutical services performance report health commodity ordering and reporting health facilities place routine orders for health commodities based on a defined annual ordering schedule, which is developed and disseminated by nms and jms to the public and pnfp/pfp health facilities respectively.","eddagala eriweebwa buli mwaka lipoota y’emirimu gy’ebyobulamu okulagira n’okukola lipoota ebifo by’ebyobulamu biteeka ebiragiro ebya bulijjo ku bintu eby’obulamu nga byesigamiziddwa ku nteekateeka y’okulagira buli mwaka etegeerekese, ekolebwa era n’esaasaanyizibwa nms ne jms eri abantu bonna n’ebifo by’ebyobulamu ebya pnfp/pfp."
h approved order and report templates and systems are used to place orders.,h ebipande n’enkola ezikkirizibwa n’enkola ezikkirizibwa zikozesebwa okuteeka ebiragiro.
"to address this challenge, the warehouse-integrated ordering system was introduced, extending the warehouse enterprise resource platform (erp) to include the client service portal.","okusobola okukola ku kusoomoozebwa kuno, enkola y’okulagira ey’okugatta mu sitoowa yayanjulwa, n’egaziya ku nkola ya warehouse enterprise resource platform (erp) okussaamu omukutu gw’okuweereza bakasitoma."
late orders are automatically locked out unless an extension is formally authorized.,ebiragiro ebikeerezi biggalwa mu ngeri ey’otoma okuggyako ng’okwongezaayo kukkiriziddwa mu butongole.
"each health facility is required to order specific health commodity categories based on its accreditation and service level, following the one facility, one warehouse policy, as per the ordering schedule developed and shared by the warehouse.","buli kifo ky’ebyobulamu kyetaagibwa okulagira ebika by’ebintu eby’obulamu ebitongole okusinziira ku mutendera gwakyo ogw’okukkiriza n’obuweereza, nga kigoberera ekifo kimu, enkola emu ey’omu sitoowa, nga bwe kiri mu nteekateeka y’okulagira eyakolebwa era n’egabana sitoowa."
"these categories include essential medicines and health supplies (emhs, commonly referred to as the credit line), hiv test kits, laboratory supplies, tuberculosis (tb) medicines, multi-drug resistant (mdr) tb medicines, and reproductive health to ensure that all required orders from a health facility are placed within a particular order cycle, tracking is based on the different commodity categories.","ebika bino mulimu eddagala ery’omugaso n’ebikozesebwa mu bulamu (emhs, ebitera okuyitibwa ebbanja ly’ebbanja), ebikozesebwa mu kukebera akawuka ka siriimu, ebikozesebwa mu laboratory, eddagala ly’akafuba (tb), eddagala eriziyiza eddagala eringi (mdr) tb, n’obulamu bw’okuzaala okukakasa nti ebiragiro byonna ebyetaagisa okuva mu kifo ky’ebyobulamu biteekebwa mu nsengekera y’ebiragiro entongole, okulondoola kwesigamiziddwa ku bitundu by’ebintu eby’enjawulo."
order rate performance is measured by the timely submission of complete order sets.,omulimu gw’omutindo gw’okulagira gupimibwa nga guweereddwayo mu budde ensengekera z’okulagira ezijjuvu.
"as such, ordering rate performance is defined as the number of facilities that submitted the expected complete order sets within each order cycle.","nga bwe kiri, omulimu gw’okulagira gunnyonnyolwa ng’omuwendo gw’ebikozesebwa ebyawaayo ebisuubirwa mu ndagiriro enzijuvu mu buli mutendera gw’okulagira."
"public health facilities commodity ordering using nms+ cssp national medical stores is mandated to procure, store and distribute emhs to all public health facilities within the country, including army, police and prisons health facilities.","ebifo by’ebyobulamu eby’olukale okulagira nga tukozesa nms+ cssp national medical stores kiweereddwa obuyinza okugula, okutereka n’okusaasaanya emhs mu bifo byonna eby’obulamu mu ggwanga, omuli amagye, poliisi n’ebifo eby’obulamu eby’amakomera."
"nms serves over public health facilities at various levels of care, with over being health center iiis and above, while the rest are health center iis.","nms eweereza ku bifo by’ebyobulamu eby’olukale ku mitendera egy’enjawulo egy’okulabirira, nga over being health centre iiiss n’okudda waggulu, ate ebisigadde ye health center iis."
the average ordering rate using nms+ cssp for both lower and higher-level public health facilities has been sustained at >95% in fy 2023/24 for program and nonprogram commodities across the six order cycles as shown in,omuwendo gwa wakati ogw’okugula nga tukozesa nms+ cssp ku bifo byombi eby’ebyobulamu ebya wansi n’eby’omutindo ogwa waggulu bibaddewo ku >95% mu mwaka gw’ebyensimbi 2023/24 ku bintu bya pulogulaamu n’ebitali bya pulogulaamu mu mitendera omukaaga egy’okulagira nga bwe kiragibwa mu
"the system was rolled out in , enhancing an integrated approach to ordering, order consolidation, fulfillment, tracking, and analytics.","enkola eno yafulumizibwa mu , okutumbula enkola ey’okugatta okulagira, okunyweza okulagira, okutuukiriza, okulondoola, n’okwekenneenya."
"all commodity orders for cycle 4, 5 & for antiretrovirals (arvs), anti-malarials, test kits, laboratory supplies, reproductive health commodities, anti-tuberculosis commodities, and others were submitted through the jms-ios.","ebiragiro byonna eby’ebintu ebikozesebwa mu kukebera enzirukanya 4, 5 & ku ddagala eriweweeza ku kawuka ka siriimu (arvs), eddagala eriweweeza ku musujja, ebikozesebwa mu kukebera, ebikozesebwa mu laboratory, ebikozesebwa mu bulamu bw’okuzaala, ebikozesebwa mu kulwanyisa akafuba, n’ebirala byaweebwayo nga biyita mu jms-ios."
"these were achieved through system development, training of participants from 140 districts/ cities, and system account creation.","bino byatuukibwako nga bayita mu kukulaakulanya enkola, okutendeka abeetabye mu kutendekebwa okuva mu disitulikiti/ ebibuga 140, n’okutondawo akawunti z’enkola."
vaccine ordering vaccine orders were submitted by all 136 districts during .,ebiragiro by'okugema ebigema byaweebwayo disitulikiti zonna 136 mu kiseera kya .
annual pharmaceutical services performance report order fill rate refers to the extent to which health facility order lines are filled by the respective warehouse(s) in a given ordering period.,eddagala ery’omwaka eriweebwa lipoota y’emirimu okujjuza omuwendo gw’okujjuza kitegeeza okutuuka wa layini z’okulagira ekifo ky’ebyobulamu we zijjibwamu sitoowa (s) ezikwatagana mu kiseera ekigere eky’okulagira.
public sector (nms performance) the delivery of health commodities is based on published monthly or bimonthly schedules.,ekitongole kya gavumenti (nms performance) okutuusa ebintu by’ebyobulamu kwesigamiziddwa ku nteekateeka ezifulumizibwa buli mwezi oba buli luvannyuma lwa myezi ebiri.
"quantity of commodities delivered is informed by procurement plan, orders, and availability of commodities at the warehouse.","omuwendo gw’ebintu ebiweebwa gutegeezebwa enteekateeka y’okugula ebintu, ebiragiro, n’okubeerawo kw’ebintu ebikozesebwa mu sitoowa."
"in q4 of fy 2023/24, the average lead time for routine bimonthly orders in the public sector was 60 days compared to 30 days in the pnfp sector.","mu q4 ya fy 2023/24, ekiseera ekikulembera ekitera okukulembera oda za bulijjo buli luvannyuma lwa myezi ebiri mu kitongole kya gavumenti kyali kya nnaku 60 bw’ogeraageranya n’ennaku 30 mu kitongole kya pnfp."
the increase in lead time in the public sector was due to delays arising from the delay of release of operational funds from (mo.,okweyongera kw’obudde bw’okukulembera mu bitongole bya gavumenti kwabadde kwa kulwawo okuva mu kulwawo okufulumya ssente z’emirimu okuva mu (mo.
the cut-offs were determined based on the severe malaria cases submitted into dhis2.,okusalako kuno kwazuuliddwa okusinziira ku balwadde ab’amaanyi abaali bafunye omusujja gw’ensiri ogwaweebwayo mu dhis2.
"however, due to dhis2 downtime, reporting was affected in the reporting in fy 2023/243.2.3.2.","wabula olw’obudde bwa dhis2, lipoota yakosebwa mu lipoota mu mwaka gw’ebyensimbi 2023/243.2.3.2."
health facility availability the average availability of a basket of 41 tracer commodities in the last quarter of fy 2023/24 was 64% for functional reporting health facilities (public & pnfps) that reported (refer to this was below the annual target of 90% and an increase of 6 percentage points compared with the last quarter of fy 2022/23 which was 58%.,okubeerawo kw’ekifo ky’ebyobulamu okubeerawo kwa wakati kw’ekisero ky’ebintu 41 eby’okulondoola mu kwata y’omwaka oguwedde ogwa fy 2023/24 kyali 64% ku bifo eby’obulamu eby’emirimu (public & pnfps) ebyategeeza (kitegeeza nti kino kyali wansi w’ekiruubirirwa kya 90% eky’omwaka n’okweyongera kwa bitundu 6 ku buli 100 bw’ogeraageranya n’ekitundu ekisembayo ekya fy 20222/23/23 58%.
"art regimen optimization (change of first line regimens) affected reporting from health facilities, because optimized regimens were not incorporated into the routine data collection tools.","art regimen optimization (okukyusa enkola z’ennyiriri ezisooka) okukosa lipoota okuva mu bifo by’ebyobulamu, kubanga enkola ezisinga obulungi tezaayingizibwa mu bikozesebwa ebya bulijjo eby’okukung’aanya ebikwata ku bantu."
"the tracer arvs that were being tracked cover only a small section of art clients and the others are obsolete, which essentially affected the availability of arvs.","tracer arvs ezaali zirondoolebwa zibikka ekitundu ekitono kyokka ekya bakasitoma b’ebyemikono n’endala tezikyaliwo, mu bukulu ekyakosa okubeerawo kwa arvs."
"central level warehouse availability the overall availability of supplies for a basket of 41 commodities and health supplies at central level warehouses (nms and jms) was 70%, which was below the target of 80% (refer to quarter in fy 2023/243.2.5.","central level warehouse availability okutwalira awamu okufuna ebikozesebwa ku kibbo ky’ebintu 41 n’ebikozesebwa mu bulamu ku sitoowa ez’omutendera ogw’omu makkati (nms ne jms) kyali 70%, ekyali wansi w’ekiruubirirwa kya 80% (laba kwata y’omwaka gw’ebyensimbi 2023/243.2.5."
these interventions are aimed at addressing product expiry and wastage.,enkola zino zigendereddwamu okukola ku bivaamu n‟okusaasaanya.
"the graph was split into two ( 13), basing on the value of expiries.","grafu yayawulwamu ebitundu bibiri ( 13), okusinziira ku muwendo gw’ebigenda okuggwaako."
"annual pharmaceutical services performance report during the last quarter of the year, , commodity expiry decreased by 40% and 51% for arvs and emhs respectively, however it was still high compared to other commodity baskets namely tb, rmncah, and laboratory.","lipoota y’emirimu gy’eddagala buli mwaka mu kwata y’omwaka ewedde, , okuggwaako kw’ebintu byakendeera ebitundu 40% ne 51% ku arvs ne emhs, wabula yali ekyali waggulu bw’ogeraageranya n’ebisero ebirala eby’ebintu okuli tb, rmncah, ne laboratory."
this is attributed to the transition from obsolete to optimal regimens.,kino kiva ku kukyuka okuva mu nkola ezitaliiko mugaso okudda mu nkola ezisinga obulungi.
h is strengthening the capacity of 22 national/regional referral plans.,h kwe kunyweza obusobozi bw’enteekateeka 22 ez’okusindika abantu mu ggwanga/ekitundu.
annual pharmaceutical services performance report have had at least four assessments and two (10%) have had three assessments.,lipoota y’emirimu gy’eddagala buli mwaka ebadde n’okukebera waakiri kuna ate bbiri (10%) zifunye okukeberebwa kusatu.
"mulago nrh is the only facility that has not reached the 80% score in pharmaceutical waste management, mainly because there were accumulated expired commodities that were not yet disposed of at the time of the third assessment.","mulago nrh kye kifo kyokka ekitatuuse ku bubonero 80% mu kuddukanya kasasiro w’eddagala, okusinga olw’okuba waaliwo ebintu ebikuŋŋaanyiziddwa ebiggwaako ebitannaba kusuulibwa mu kiseera ky’okukebera okw’okusatu."
follow-ups are ongoing to have them address this concern.,abagobererwa bagenda mu maaso okuba nga bakola ku kweraliikirira kuno.
usaid/sscs activity continues to work with the facilities to improve their waste management plans.,emirimu gya usaid/sscs gikyagenda mu maaso n’okukolagana n’ebifo eby’okulongoosa enteekateeka zaabwe ez’okuddukanya kasasiro.
